detections
"*450281.0#20[0044],2024-08-21 00:34:21,A69-9001,10157,OK,#6E"
"*450281.0#20[0044],2024-08-21 00:36:45,A69-9001,10157,OK,#76"
"*450281.0#20[0044],2024-08-21 00:39:00,A69-9001,10157,OK,#70"
"*450281.0#20[0044],2024-08-21 00:40:54,A69-9001,10157,OK,#71"
"*450281.0#20[0044],2024-08-21 00:43:27,A69-9001,10157,OK,#74"
"*450281.0#20[0044],2024-08-21 00:45:58,A69-9001,10157,OK,#7A"
"*450281.0#20[0044],2024-08-21 00:48:26,A69-9001,10157,OK,#78"
"*450281.0#20[0044],2024-08-27 10:13:18,A69-9001,21071,OK,#75"
"*450281.0#20[0044],2024-08-28 10:15:23,A69-9001,21071,OK,#74"
"*450281.0#20[0044],2024-08-28 11:55:57,A69-9001,21071,OK,#80"
