sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-19 06:30:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,400,2024-08-19 06:29:53,STS,DC=51,PC=7448,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BB>|",2024-08-19T06:30:05.172129Z,450281,2024-08-19T06:29:53Z,51,7448,0.2,3.6,10.1,2.4,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T06:30:03Z
2024-08-19 06:45:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,401,2024-08-19 06:44:53,STS,DC=51,PC=7450,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B1>|",2024-08-19T06:45:04.902295Z,450281,2024-08-19T06:44:53Z,51,7450,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T06:45:03Z
2024-08-19 07:00:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,402,2024-08-19 06:59:53,STS,DC=51,PC=7451,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B9>|",2024-08-19T07:00:04.648099Z,450281,2024-08-19T06:59:53Z,51,7451,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T07:00:03Z
2024-08-19 07:15:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,403,2024-08-19 07:14:54,STS,DC=51,PC=7452,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B4>|",2024-08-19T07:15:05.388587Z,450281,2024-08-19T07:14:54Z,51,7452,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T07:15:03Z
2024-08-19 07:30:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,404,2024-08-19 07:29:53,STS,DC=51,PC=7454,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BC>|",2024-08-19T07:30:05.170153Z,450281,2024-08-19T07:29:53Z,51,7454,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T07:30:03Z
2024-08-19 07:45:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,405,2024-08-19 07:44:53,STS,DC=51,PC=7459,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=27.0,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B7>|",2024-08-19T07:45:05.043936Z,450281,2024-08-19T07:44:53Z,51,7459,0.2,3.6,10.1,2.3,27,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T07:45:03Z
2024-08-19 08:00:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,406,2024-08-19 07:59:53,STS,DC=51,PC=7466,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.9,DU=0.0,RU=0.3,XYZ=0.03:-0.16:-0.84,#C2>|",2024-08-19T08:00:04.832734Z,450281,2024-08-19T07:59:53Z,51,7466,0.2,3.6,10.1,2.4,26.9,0,0.3,0.03,-0.16,-0.84,43.8,2024-08-19T08:00:03Z
2024-08-19 08:15:04 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,407,2024-08-19 08:14:54,STS,DC=51,PC=7466,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BE>|",2024-08-19T08:15:05.838089Z,450281,2024-08-19T08:14:54Z,51,7466,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.8,2024-08-19T08:15:04Z
2024-08-19 08:30:04 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,408,2024-08-19 08:29:54,STS,DC=51,PC=7469,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#C8>|",2024-08-19T08:30:05.669194Z,450281,2024-08-19T08:29:54Z,51,7469,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T08:30:04Z
2024-08-19 08:45:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,409,2024-08-19 08:44:54,STS,DC=51,PC=7474,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#C2>|",2024-08-19T08:45:05.498439Z,450281,2024-08-19T08:44:54Z,51,7474,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T08:45:03Z
2024-08-19 09:00:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,410,2024-08-19 08:59:53,STS,DC=51,PC=7480,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=27.0,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B5>|",2024-08-19T09:00:05.225487Z,450281,2024-08-19T08:59:53Z,51,7480,0.2,3.6,10.1,2.4,27,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T09:00:03Z
2024-08-19 09:15:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,411,2024-08-19 09:14:53,STS,DC=51,PC=7485,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BA>|",2024-08-19T09:15:04.871591Z,450281,2024-08-19T09:14:53Z,51,7485,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,43.3,2024-08-19T09:15:03Z
