sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-14 22:00:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A|",2024-08-14T22:00:10.659718Z,450281,,,,,,,,,,,,,,44.3,2024-08-14T22:00:03Z
2024-08-14 22:15:03 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,001,2024-08-14 22:14:59,STS,DC=0,PC=60,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=29.1,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#DE>|",2024-08-14T22:15:04.924579Z,450281,2024-08-14T22:14:59Z,0,60,0.2,3.6,9.2,2.4,29.1,0,0,0.06,-0.19,-0.84,50.1,2024-08-14T22:15:03Z
2024-08-14 22:30:02 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,002,2024-08-14 22:29:59,STS,DC=0,PC=498,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=28.8,DU=0.0,RU=0.0,XYZ=0.03:-0.19:-0.84,#26>|",2024-08-14T22:30:04.379249Z,450281,2024-08-14T22:29:59Z,0,498,0.2,3.6,9.2,2.3,28.8,0,0,0.03,-0.19,-0.84,50.1,2024-08-14T22:30:02Z
2024-08-14 22:45:03 temp=51.6'C,"*450281.0#20[0009],OK,#9A450281,003,2024-08-14 22:44:59,STS,DC=0,PC=869,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.6,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#28>|",2024-08-14T22:45:04.719330Z,450281,2024-08-14T22:44:59Z,0,869,0.2,3.6,9.2,2.4,28.6,0,0,0.06,-0.19,-0.84,51.6,2024-08-14T22:45:03Z
2024-08-14 23:00:03 temp=51.1'C,"*450281.0#20[0009],OK,#9A450281,004,2024-08-14 22:59:59,STS,DC=0,PC=975,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.4,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#2B>|",2024-08-14T23:00:05.187362Z,450281,2024-08-14T22:59:59Z,0,975,0.2,3.6,9.2,2.4,28.4,0,0,0.06,-0.19,-0.84,51.1,2024-08-14T23:00:03Z
2024-08-14 23:15:02 temp=51.6'C,"*450281.0#20[0009],OK,#9A450281,005,2024-08-14 23:14:59,STS,DC=0,PC=1067,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.2,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#4B>|",2024-08-14T23:15:04.212079Z,450281,2024-08-14T23:14:59Z,0,1067,0.2,3.6,9.2,2.4,28.2,0,0,0.06,-0.19,-0.84,51.6,2024-08-14T23:15:02Z
2024-08-14 23:30:03 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,006,2024-08-14 23:29:59,STS,DC=0,PC=1272,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#50>|",2024-08-14T23:30:04.507589Z,450281,2024-08-14T23:29:59Z,0,1272,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,50.1,2024-08-14T23:30:03Z
2024-08-14 23:45:03 temp=49.1'C,"*450281.0#20[0009],OK,#9A450281,007,2024-08-14 23:44:59,STS,DC=0,PC=1399,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#58>|",2024-08-14T23:45:05.081943Z,450281,2024-08-14T23:44:59Z,0,1399,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,49.1,2024-08-14T23:45:03Z
2024-08-15 00:00:02 temp=48.2'C,"*450281.0#20[0009],OK,#9A450281,008,2024-08-14 23:59:59,STS,DC=0,PC=1465,LV=0.2,BV=3.6,BU=9.2,I=2.5,T=28.0,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#56>|",2024-08-15T00:00:04.248860Z,450281,2024-08-14T23:59:59Z,0,1465,0.2,3.6,9.2,2.5,28,0,0.1,0.03,-0.19,-0.84,48.2,2024-08-15T00:00:02Z
2024-08-15 00:15:03 temp=46.2'C,"*450281.0#20[0009],OK,#9A|",2024-08-15T00:15:04.752145Z,450281,,,,,,,,,,,,,,46.2,2024-08-15T00:15:03Z
2024-08-15 00:30:02 temp=45.7'C,"*450281.0#20[0009],OK,#9A450281,010,2024-08-15 00:29:59,STS,DC=0,PC=1722,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#47>|",2024-08-15T00:30:04.227955Z,450281,2024-08-15T00:29:59Z,0,1722,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,45.7,2024-08-15T00:30:02Z
2024-08-15 00:45:02 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,011,2024-08-15 00:44:59,STS,DC=0,PC=1739,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.0,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#4C>|",2024-08-15T00:45:04.497656Z,450281,2024-08-15T00:44:59Z,0,1739,0.2,3.6,9.2,2.4,28,0,0.1,0.06,-0.19,-0.84,45.2,2024-08-15T00:45:02Z
2024-08-15 01:00:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,012,2024-08-15 00:59:59,STS,DC=0,PC=1767,LV=0.2,BV=3.6,BU=9.2,I=2.5,T=27.9,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#5A>|",2024-08-15T01:00:05.919518Z,450281,2024-08-15T00:59:59Z,0,1767,0.2,3.6,9.2,2.5,27.9,0,0.1,0.03,-0.19,-0.84,44.8,2024-08-15T01:00:03Z
2024-08-15 01:15:02 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,013,2024-08-15 01:14:59,STS,DC=0,PC=1777,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#56>|",2024-08-15T01:15:04.161378Z,450281,2024-08-15T01:14:59Z,0,1777,0.2,3.6,9.2,2.4,27.9,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T01:15:02Z
2024-08-15 01:30:02 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,014,2024-08-15 01:29:59,STS,DC=0,PC=1787,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#5E>|",2024-08-15T01:30:04.376562Z,450281,2024-08-15T01:29:59Z,0,1787,0.2,3.6,9.2,2.4,27.9,0,0.1,0.06,-0.19,-0.84,44.8,2024-08-15T01:30:02Z
2024-08-15 01:45:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,015,2024-08-15 01:44:59,STS,DC=0,PC=1797,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#5D>|",2024-08-15T01:45:04.615041Z,450281,2024-08-15T01:44:59Z,0,1797,0.2,3.6,9.2,2.4,27.9,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T01:45:03Z
2024-08-15 02:00:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,016,2024-08-15 01:59:59,STS,DC=0,PC=1797,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#64>|",2024-08-15T02:00:09.765272Z,450281,2024-08-15T01:59:59Z,0,1797,0.2,3.6,9.2,2.4,27.9,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T02:00:03Z
2024-08-15 02:15:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,017,2024-08-15 02:14:59,STS,DC=0,PC=1797,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#5B>|",2024-08-15T02:15:04.990018Z,450281,2024-08-15T02:14:59Z,0,1797,0.2,3.6,9.2,2.3,27.8,0,0.1,0.06,-0.19,-0.84,44.8,2024-08-15T02:15:03Z
2024-08-15 02:30:02 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,018,2024-08-15 02:29:59,STS,DC=0,PC=1797,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#63>|",2024-08-15T02:30:04.617350Z,450281,2024-08-15T02:29:59Z,0,1797,0.2,3.6,9.2,2.4,27.8,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T02:30:02Z
2024-08-15 02:45:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,019,2024-08-15 02:44:59,STS,DC=0,PC=1797,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#61>|",2024-08-15T02:45:04.741812Z,450281,2024-08-15T02:44:59Z,0,1797,0.2,3.6,9.2,2.4,27.8,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T02:45:03Z
2024-08-15 03:00:03 temp=42.8'C,"*450281.0#20[0009],OK,#9A450281,020,2024-08-15 02:59:59,STS,DC=0,PC=1799,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#60>|",2024-08-15T03:00:04.995690Z,450281,2024-08-15T02:59:59Z,0,1799,0.2,3.6,9.2,2.3,27.8,0,0.1,0.06,-0.19,-0.84,42.8,2024-08-15T03:00:03Z
2024-08-15 03:15:02 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,021,2024-08-15 03:14:59,STS,DC=0,PC=1800,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#49>|",2024-08-15T03:15:04.708347Z,450281,2024-08-15T03:14:59Z,0,1800,0.2,3.6,9.2,2.4,27.8,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T03:15:02Z
2024-08-15 03:30:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,022,2024-08-15 03:29:59,STS,DC=0,PC=1800,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#4F>|",2024-08-15T03:30:05.063732Z,450281,2024-08-15T03:29:59Z,0,1800,0.2,3.6,9.2,2.4,27.7,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T03:30:03Z
2024-08-15 03:45:02 temp=42.8'C,"*450281.0#20[0009],OK,#9A450281,023,2024-08-15 03:44:58,STS,DC=0,PC=1801,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#4D>|",2024-08-15T03:45:05.257890Z,450281,2024-08-15T03:44:58Z,0,1801,0.2,3.6,9.2,2.4,27.7,0,0.1,0.06,-0.19,-0.84,42.8,2024-08-15T03:45:02Z
2024-08-15 04:00:02 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,024,2024-08-15 03:59:59,STS,DC=0,PC=1804,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#57>|",2024-08-15T04:00:09.350628Z,450281,2024-08-15T03:59:59Z,0,1804,0.2,3.6,9.2,2.3,27.7,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T04:00:02Z
2024-08-15 04:15:03 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,025,2024-08-15 04:14:59,STS,DC=0,PC=1805,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#51>|",2024-08-15T04:15:04.459518Z,450281,2024-08-15T04:14:59Z,0,1805,0.2,3.6,9.2,2.3,27.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T04:15:03Z
2024-08-15 04:30:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,026,2024-08-15 04:29:59,STS,DC=0,PC=1806,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#59>|",2024-08-15T04:30:04.700732Z,450281,2024-08-15T04:29:59Z,0,1806,0.2,3.6,9.2,2.3,27.7,0,0.1,0.06,-0.19,-0.84,44.3,2024-08-15T04:30:03Z
2024-08-15 04:45:03 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,027,2024-08-15 04:44:59,STS,DC=0,PC=1806,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#58>|",2024-08-15T04:45:04.854302Z,450281,2024-08-15T04:44:59Z,0,1806,0.2,3.6,9.2,2.4,27.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T04:45:03Z
2024-08-15 05:15:02 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,029,2024-08-15 05:14:58,STS,DC=1,PC=1828,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#5C|",2024-08-15T05:15:04.377947Z,450281,2024-08-15T05:14:58Z,1,1828,0.2,3.6,9.2,2.3,27.8,0,0.1,0.06,-0.19,-0.84,44.8,2024-08-15T05:15:02Z
2024-08-15 05:30:03 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,031,2024-08-15 05:29:59,STS,DC=8,PC=1917,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#61|",2024-08-15T05:30:04.898581Z,450281,2024-08-15T05:29:59Z,8,1917,0.2,3.6,9.2,2.3,27.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T05:30:03Z
2024-08-15 05:45:03 temp=43.3'C,|,2024-08-15T05:45:04.911663Z,|,,,,,,,,,,,|,|,|,43.3,2024-08-15T05:45:03Z
2024-08-15 06:00:02 temp=42.8'C,|,2024-08-15T06:00:04.267101Z,|,,,,,,,,,,,|,|,|,42.8,2024-08-15T06:00:02Z
2024-08-15 06:15:02 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,048,2024-08-15 06:14:59,STS,DC=15,PC=2037,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8D>|",2024-08-15T06:15:04.574614Z,450281,2024-08-15T06:14:59Z,15,2037,0.2,3.6,9.2,2.4,27.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T06:15:02Z
2024-08-15 06:30:03 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,049,2024-08-15 06:29:59,STS,DC=15,PC=2041,LV=0.2,BV=3.6,BU=9.2,I=2.5,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#90>|",2024-08-15T06:30:04.942294Z,450281,2024-08-15T06:29:59Z,15,2041,0.2,3.6,9.2,2.5,27.7,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T06:30:03Z
2024-08-15 06:45:02 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,050,2024-08-15 06:44:58,STS,DC=15,PC=2044,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#83>|",2024-08-15T06:45:04.258574Z,450281,2024-08-15T06:44:58Z,15,2044,0.2,3.6,9.2,2.4,27.7,0,0.1,0.03,-0.19,-0.84,42.3,2024-08-15T06:45:02Z
2024-08-15 07:00:03 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,051,2024-08-15 06:59:59,STS,DC=15,PC=2049,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#93>|",2024-08-15T07:00:04.418624Z,450281,2024-08-15T06:59:59Z,15,2049,0.2,3.6,9.2,2.3,27.8,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T07:00:03Z
2024-08-15 07:15:03 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,052,2024-08-15 07:14:59,STS,DC=15,PC=2060,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#85>|",2024-08-15T07:15:04.803008Z,450281,2024-08-15T07:14:59Z,15,2060,0.2,3.6,9.2,2.4,27.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T07:15:03Z
2024-08-15 07:30:03 temp=42.8'C,"*450281.0#20[0009],OK,#9A450281,053,2024-08-15 07:29:59,STS,DC=15,PC=2064,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.8,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#90>|",2024-08-15T07:30:04.925588Z,450281,2024-08-15T07:29:59Z,15,2064,0.2,3.6,9.2,2.3,27.8,0,0.1,0.06,-0.19,-0.84,42.8,2024-08-15T07:30:03Z
2024-08-15 07:45:02 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,054,2024-08-15 07:44:58,STS,DC=15,PC=2065,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8C>|",2024-08-15T07:45:04.284677Z,450281,2024-08-15T07:44:58Z,15,2065,0.2,3.6,9.2,2.3,27.6,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T07:45:02Z
2024-08-15 08:00:03 temp=42.8'C,"*450281.0#20[0009],OK,#9A450281,055,2024-08-15 07:59:59,STS,DC=15,PC=2066,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.5,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#94>|",2024-08-15T08:00:04.622073Z,450281,2024-08-15T07:59:59Z,15,2066,0.2,3.6,9.2,2.3,27.5,0,0.1,0.06,-0.19,-0.84,42.8,2024-08-15T08:00:03Z
2024-08-15 08:15:03 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,056,2024-08-15 08:14:59,STS,DC=15,PC=2069,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.3,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8F>|",2024-08-15T08:15:04.801938Z,450281,2024-08-15T08:14:59Z,15,2069,0.2,3.6,9.2,2.4,27.3,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T08:15:03Z
2024-08-15 08:30:03 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,057,2024-08-15 08:29:59,STS,DC=15,PC=2070,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=27.2,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8C>|",2024-08-15T08:30:05.013240Z,450281,2024-08-15T08:29:59Z,15,2070,0.2,3.6,9.2,2.3,27.2,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T08:30:03Z
2024-08-15 08:45:02 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,058,2024-08-15 08:44:58,STS,DC=15,PC=2071,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=27.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8B>|",2024-08-15T08:45:04.297405Z,450281,2024-08-15T08:44:58Z,15,2071,0.2,3.6,9.3,2.4,27.1,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T08:45:02Z
2024-08-15 09:00:03 temp=41.3'C,"*450281.0#20[0009],OK,#9A450281,059,2024-08-15 08:59:58,STS,DC=15,PC=2072,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=27.0,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#92>|",2024-08-15T09:00:04.624291Z,450281,2024-08-15T08:59:58Z,15,2072,0.2,3.6,9.3,2.4,27,0,0.1,0.06,-0.19,-0.84,41.3,2024-08-15T09:00:03Z
2024-08-15 09:15:03 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,060,2024-08-15 09:14:59,STS,DC=15,PC=2072,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8B>|",2024-08-15T09:15:04.918733Z,450281,2024-08-15T09:14:59Z,15,2072,0.2,3.6,9.3,2.4,26.9,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T09:15:03Z
2024-08-15 09:30:02 temp=40.4'C,"*450281.0#20[0009],OK,#9A450281,061,2024-08-15 09:29:58,STS,DC=15,PC=2072,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#91>|",2024-08-15T09:30:04.225482Z,450281,2024-08-15T09:29:58Z,15,2072,0.2,3.6,9.3,2.4,26.9,0,0.1,0.06,-0.19,-0.84,40.4,2024-08-15T09:30:02Z
2024-08-15 09:45:02 temp=41.3'C,"*450281.0#20[0009],OK,#9A450281,062,2024-08-15 09:44:58,STS,DC=15,PC=2074,LV=0.2,BV=3.6,BU=9.3,I=2.3,T=26.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8E>|",2024-08-15T09:45:04.473475Z,450281,2024-08-15T09:44:58Z,15,2074,0.2,3.6,9.3,2.3,26.7,0,0.1,0.06,-0.19,-0.84,41.3,2024-08-15T09:45:02Z
2024-08-15 10:00:03 temp=40.4'C,"*450281.0#20[0009],OK,#9A450281,063,2024-08-15 09:59:59,STS,DC=15,PC=2092,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#97>|",2024-08-15T10:00:04.743554Z,450281,2024-08-15T09:59:59Z,15,2092,0.2,3.6,9.3,2.4,26.7,0,0.1,0.06,-0.19,-0.84,40.4,2024-08-15T10:00:03Z
2024-08-15 10:15:03 temp=41.3'C,"*450281.0#20[0009],OK,#9A450281,064,2024-08-15 10:14:59,STS,DC=15,PC=2109,LV=0.2,BV=3.6,BU=9.3,I=2.5,T=26.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#86>|",2024-08-15T10:15:05.021623Z,450281,2024-08-15T10:14:59Z,15,2109,0.2,3.6,9.3,2.5,26.6,0,0.1,0.06,-0.19,-0.84,41.3,2024-08-15T10:15:03Z
2024-08-15 10:30:02 temp=42.3'C,"*450281.0#20[0009],OK,#9A450281,065,2024-08-15 10:29:58,STS,DC=15,PC=2132,LV=0.0,BV=3.6,BU=9.3,I=2.3,T=26.7,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#85>|",2024-08-15T10:30:04.294278Z,450281,2024-08-15T10:29:58Z,15,2132,0,3.6,9.3,2.3,26.7,0,0.1,0.06,-0.19,-0.84,42.3,2024-08-15T10:30:02Z
2024-08-15 10:45:03 temp=39.9'C,"*450281.0#20[0009],OK,#9A450281,066,2024-08-15 10:44:58,STS,DC=15,PC=2169,LV=0.2,BV=3.6,BU=9.3,I=2.3,T=26.7,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#8C>|",2024-08-15T10:45:04.579733Z,450281,2024-08-15T10:44:58Z,15,2169,0.2,3.6,9.3,2.3,26.7,0,0.1,0.03,-0.19,-0.84,39.9,2024-08-15T10:45:03Z
2024-08-15 11:00:03 temp=41.3'C,"*450281.0#20[0009],OK,#9A450281,067,2024-08-15 10:59:59,STS,DC=15,PC=2175,LV=0.0,BV=3.6,BU=9.3,I=2.4,T=26.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#92>|",2024-08-15T11:00:04.890456Z,450281,2024-08-15T10:59:59Z,15,2175,0,3.6,9.3,2.4,26.6,0,0.1,0.06,-0.19,-0.84,41.3,2024-08-15T11:00:03Z
2024-08-15 11:15:02 temp=40.4'C,"*450281.0#20[0009],OK,#9A450281,068,2024-08-15 11:14:58,STS,DC=15,PC=2195,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8E>|",2024-08-15T11:15:04.187376Z,450281,2024-08-15T11:14:58Z,15,2195,0.2,3.6,9.3,2.4,26.6,0,0.1,0.06,-0.19,-0.84,40.4,2024-08-15T11:15:02Z
2024-08-15 11:30:02 temp=41.8'C,"*450281.0#20[0009],OK,#9A450281,069,2024-08-15 11:29:58,STS,DC=15,PC=2214,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.5,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#8C>|",2024-08-15T11:30:04.352646Z,450281,2024-08-15T11:29:58Z,15,2214,0.2,3.6,9.3,2.4,26.5,0,0.1,0.06,-0.19,-0.84,41.8,2024-08-15T11:30:02Z
2024-08-15 11:45:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,071,2024-08-15 11:44:58,STS,DC=15,PC=2252,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.5,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#84>|",2024-08-15T11:45:04.553923Z,450281,2024-08-15T11:44:58Z,15,2252,0.2,3.6,9.3,2.4,26.5,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T11:45:03Z
2024-08-15 12:00:03 temp=44.8'C,"*450281.0#20[0014],INVALID,#07*450281.0#20[0009],OK,#9A450281,000,2024-08-15 11:59:59,STS,DC=15,PC=2347,LV=0.0,BV=3.5,BU=9.3,I=2.4,T=26.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#86>|",2024-08-15T12:00:04.658586Z,450281,2024-08-15T11:59:59Z,15,2347,0,3.5,9.3,2.4,26.6,0,0.1,0.06,-0.19,-0.84,44.8,2024-08-15T12:00:03Z
2024-08-15 12:09:27 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,002,2024-08-15 12:09:22,STS,DC=15,PC=2362,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.7,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#78>|",2024-08-15T12:09:29.118240Z,450281,2024-08-15T12:09:22Z,15,2362,0.2,3.6,9.3,2.4,26.7,0,0.1,0.03,-0.19,-0.84,44.3,2024-08-15T12:09:27Z
2024-08-15 12:15:03 temp=43.3'C,"*450281.0#20[0009],OK,#9A450281,003,2024-08-15 12:14:59,STS,DC=15,PC=2364,LV=0.2,BV=3.6,BU=9.3,I=2.4,T=26.6,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#83>|",2024-08-15T12:15:05.526622Z,450281,2024-08-15T12:14:59Z,15,2364,0.2,3.6,9.3,2.4,26.6,0,0.1,0.06,-0.19,-0.84,43.3,2024-08-15T12:15:03Z
2024-08-15 12:30:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,004,2024-08-15 12:29:59,STS,DC=15,PC=2432,LV=0.0,BV=3.6,BU=9.3,I=2.3,T=27.0,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#7E>|",2024-08-15T12:30:05.644687Z,450281,2024-08-15T12:29:59Z,15,2432,0,3.6,9.3,2.3,27,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T12:30:03Z
